SEGMENT,DISTANCE,ANGLE
AG,464.727545440881,1.2300112000000065
HN,464.727538479634,1.2300112000000065
AG,464.678496088024,1.2300113000000066
HN,464.678489126059,1.2300113000000066
AG,464.629453364793,1.2300114000000066
HN,464.629446404003,1.2300114000000066
AG,464.580403495018,1.2300115000000067
HN,464.580396534871,1.2300115000000067
AG,464.531357866581,1.2300116000000068
HN,464.531350906698,1.2300116000000068
AG,464.482311757112,1.2300117000000068
HN,464.482304798453,1.2300117000000068
AG,464.433267628256,1.2300118000000069
HN,464.433260669283,1.2300118000000069
AG,464.384222901649,1.230011900000007
HN,464.384215944669,1.230011900000007
AG,464.335171797937,1.230012000000007
HN,464.335164842256,1.230012000000007
AG,464.286128927818,1.230012100000007
HN,464.286121971386,1.230012100000007
AG,464.237081068799,1.230012200000007
HN,464.237074111336,1.230012200000007
AG,464.188035469567,1.2300123000000072
HN,464.188028514576,1.2300123000000072
AG,464.138990618874,1.2300124000000072
HN,464.138983665452,1.2300124000000072
AG,464.089944242504,1.2300125000000073
HN,464.089937290297,1.2300125000000073
AG,464.040898290468,1.2300126000000073
HN,464.040891337645,1.2300126000000073
AG,463.991851489432,1.2300127000000074
HN,463.991844537446,1.2300127000000074
AG,463.942807137650,1.2300128000000075
HN,463.942800189218,1.2300128000000075
AG,463.893760091308,1.2300129000000075
HN,463.893753142555,1.2300129000000075
AG,463.844714445206,1.2300130000000076
HN,463.844707495291,1.2300130000000076
