SEGMENT,DISTANCE,ANGLE
AG,0.0212259268679720,1.230959374
HN,0.0212259268103352,1.230959374
AG,0.0207381896107079,1.230959375
HN,0.0207381897778507,1.230959375
AG,0.0202466111161481,1.230959376
HN,0.0202466107583953,1.230959376
AG,0.0179547530804574,1.230959454
HN,0.0179547544855205,1.230959454
AG,0.0184445903087403,1.230959455
HN,0.0184445892681755,1.230959455
AG,0.0189336249237363,1.230959456
HN,0.0189336228859241,1.230959456
AG,0.0194213480411412,1.230959457
HN,0.0194213473372935,1.230959457
AG,0.0199156705092971,1.230959458
HN,0.0199156703593176,1.230959458
AG,0.0204019174946966,1.230959459
HN,0.0204019163769941,1.230959459
AG,0.0208923949910899,1.23095946
HN,0.0208923939438655,1.23095946
AG,3.58369579512129,1.2309521
HN,3.58369574156564,1.2309521
AG,3.53472092453350,1.2309522
HN,3.53472087080169,1.2309522
AG,3.48574437136702,1.2309523
HN,3.48574431980176,1.2309523
AG,3.43676839044260,1.2309524
HN,3.43676833761430,1.2309524
AG,3.38779484332789,1.2309525
HN,3.38779479181225,1.2309525
AG,3.33881582424909,1.2309526
HN,3.33881577260069,1.2309526
AG,3.28984213220853,1.2309527
HN,3.28984208337080,1.2309527
AG,0.530234733448657,1.2309605
HN,0.530234723564061,1.2309605
AG,0.579207414165549,1.2309606
HN,0.579207406269598,1.2309606
AG,0.628184954109206,1.2309607
HN,0.628184944235365,1.2309607
AG,0.677157214937871,1.2309608
HN,0.677157205318337,1.2309608
AG,0.726134969848135,1.2309609
HN,0.726134959809054,1.2309609
AG,0.775108198543351,1.230961
HN,0.775108186771996,1.230961
AG,0.824083578537054,1.2309611
HN,0.824083566233278,1.2309611
AG,2.92999930889378,1.2309654
HN,2.92999926510738,1.2309654
AG,2.97897565022510,1.2309655
HN,2.97897560608594,1.2309655
AG,3.02794843461376,1.2309656
HN,3.02794838956703,1.2309656
AG,3.07692147992085,1.2309657
HN,3.07692143510766,1.2309657
AG,3.12590038295942,1.2309658
HN,3.12590033678011,1.2309658
AG,3.17487162983431,1.2309659
HN,3.17487158270027,1.2309659
AG,3.22384714507612,1.230966
HN,3.22384709711833,1.230966
AG,2.89804017489724,1.2309535
HN,2.89804013141976,1.2309535
AG,2.84906163678057,1.2309536
HN,2.84906159427310,1.2309536
AG,2.80008602507187,1.2309537
HN,2.80008598354579,1.2309537
AG,2.75110999059066,1.2309538
HN,2.75110994931260,1.2309538
AG,2.70213272954507,1.2309539
HN,2.70213269022002,1.2309539
AG,2.65315737008519,1.230954
HN,2.65315733089557,1.230954
AG,2.60418340594157,1.2309541
HN,2.60418336744389,1.2309541
AG,1.52672586663449,1.2309563
HN,1.52672584360913,1.2309563
AG,1.47774916138028,1.2309564
HN,1.47774913845332,1.2309564
AG,1.42877431969070,1.2309565
HN,1.42877429880333,1.2309565
AG,1.37979815613874,1.2309566
HN,1.37979813566248,1.2309566
AG,1.33082086387029,1.2309567
HN,1.33082084396769,1.2309567
AG,1.28184803612927,1.2309568
HN,1.28184801719220,1.2309568
AG,1.23287267889114,1.2309569
HN,1.23287266150168,1.2309569
AG,1.55870870050414,1.2309626
HN,1.55870867727973,1.2309626
AG,1.60768216451710,1.2309627
HN,1.60768214035748,1.2309627
AG,1.65665509355980,1.2309628
HN,1.65665506933334,1.2309628
AG,1.70562973925901,1.2309629
HN,1.70562971414174,1.2309629
AG,1.75460549460394,1.230963
HN,1.75460546723707,1.230963
AG,1.80358099899807,1.2309631
HN,1.80358097206210,1.2309631
AG,1.85255600550101,1.2309632
HN,1.85255597887609,1.2309632
AG,4.64410761076017,1.2309689
HN,4.64410754047861,1.2309689
AG,4.69308101283563,1.230969
HN,4.69308094227692,1.230969
AG,4.74205444127776,1.2309691
HN,4.74205436929686,1.2309691
AG,4.79103117821754,1.2309692
HN,4.79103110688622,1.2309692
AG,4.84000593379351,1.2309693
HN,4.84000586014049,1.2309693
AG,4.88897715540916,1.2309694
HN,4.88897708275420,1.2309694
AG,4.93795392822680,1.2309695
HN,4.93795385402839,1.2309695
AG,298.602036963855,1.23035
HN,298.602032486733,1.23035
AG,293.699993487703,1.23036
HN,293.699989084537,1.23036
AG,288.798023518833,1.23037
HN,288.798019188693,1.23037
AG,283.896131753299,1.23038
HN,283.896127496233,1.23038
AG,278.994317650922,1.23039
HN,278.994313468238,1.23039
AG,274.092569739831,1.2304
HN,274.092565630876,1.2304
AG,269.190904475857,1.23041
HN,269.190900438762,1.23041
AG,161.373173210652,1.23063
HN,161.373170790349,1.23063
AG,156.473228616612,1.23064
HN,156.473226268015,1.23064
AG,151.573360791452,1.23065
HN,151.573358517290,1.23065
AG,146.673566412184,1.23066
HN,146.673564213861,1.23066
AG,141.773847695504,1.23067
HN,141.773845570066,1.23067
AG,136.874203391359,1.23068
HN,136.874201337313,1.23068
AG,131.974635645847,1.23069
HN,131.974633665226,1.23069
AG,318.464659604143,1.23161
HN,318.464654818698,1.23161
AG,323.357247887514,1.23162
HN,323.357243028147,1.23162
AG,328.249762913563,1.23163
HN,328.249757983410,1.23163
AG,333.142199673798,1.23164
HN,333.142194667554,1.23164
AG,338.034562519082,1.23165
HN,338.034557439145,1.23165
AG,342.926852378337,1.23166
HN,342.926847226067,1.23166
AG,347.819062629371,1.23167
HN,347.819057400531,1.23167
AG,58128.6318917477,1.121
HN,58128.6311877671,1.121
AG,57564.0041161962,1.122
HN,57564.0034176453,1.122
AG,56999.9868880584,1.123
HN,56999.9861949521,1.123
AG,56436.5817123010,1.124
HN,56436.5810246584,1.124
AG,55873.7900746281,1.125
HN,55873.7893924696,1.125
AG,55311.6134614284,1.126
HN,55311.6127847702,1.126
AG,54750.0533657122,1.127
HN,54750.0526945724,1.127
AG,31206.6126372124,1.17
HN,31206.6122205866,1.17
AG,30673.5893428458,1.171
HN,30673.5889325360,1.171
AG,30141.2453344926,1.172
HN,30141.2449305127,1.172
AG,29609.5819039825,1.173
HN,29609.5815063506,1.173
AG,29078.6003620553,1.174
HN,29078.5999707938,1.174
AG,28548.3020018089,1.175
HN,28548.3016169312,1.175
AG,28018.6881108197,1.176
HN,28018.6877323436,1.176
AG,5910.48934048168,1.219
HN,5910.48925375567,1.219
AG,5412.21077804014,1.22
HN,5412.21069847671,1.22
AG,4914.67066281276,1.221
HN,4914.67059042361,1.221
AG,4417.87010130045,1.222
HN,4417.87003610656,1.222
AG,3921.81019486493,1.223
HN,3921.81013687958,1.223
AG,3426.49204253694,1.224
HN,3426.49199177962,1.224
AG,2931.91673034572,1.225
HN,2931.91668683329,1.225
AG,20826.8128766262,1.275
HN,20826.8125373260,1.275
AG,21282.1533026086,1.276
HN,21282.1529552512,1.276
AG,21736.6998958871,1.277
HN,21736.6995404602,1.277
AG,22190.4517964390,1.278
HN,22190.4514329251,1.278
AG,22643.4081327467,1.279
HN,22643.4077611313,1.279
AG,23095.5680467660,1.28
HN,23095.5676670358,1.28
AG,23546.9306841622,1.281
HN,23546.9302962971,1.281
AG,54189.1112507646,1.128
HN,54189.1105851634,1.128
AG,53628.7886039613,1.129
HN,53628.7879439167,1.129
AG,53069.0868929295,1.13
HN,53069.0862384580,1.13
AG,52510.0075864198,1.131
HN,52510.0069375429,1.131
AG,51951.5521525673,1.132
HN,51951.5515093002,1.132
AG,51393.7220486950,1.133
